! CMT, C1209, 00000001, 22.3.3/2
! Date: 10/10/2025 11:37:35
! Stimulus(Hz),    S21(dB)
1.00000000000E+05,-8.60588728509E+01
4.50995000000E+07,-8.25209986650E+01
9.00990000000E+07,-8.05777551306E+01
1.35098500000E+08,-8.40617357022E+01
1.80098000000E+08,-7.77529971816E+01
2.25097500000E+08,-7.87933735697E+01
2.70097000000E+08,-7.52620696884E+01
3.15096500000E+08,-7.05513094877E+01
3.60096000000E+08,-7.44747893881E+01
4.05095500000E+08,-6.89835250424E+01
4.50095000000E+08,-8.04621378593E+01
4.95094500000E+08,-6.74754013889E+01
5.40094000000E+08,-7.37485035386E+01
5.85093500000E+08,-6.86506541932E+01
6.30093000000E+08,-7.23870910928E+01
6.75092500000E+08,-7.35960602677E+01
7.20092000000E+08,-7.71409865907E+01
7.65091500000E+08,-7.86715208466E+01
8.10091000000E+08,-7.21725969609E+01
8.55090500000E+08,-7.19902328580E+01
9.00090000000E+08,-8.36640680839E+01
9.45089500000E+08,-7.39978942291E+01
9.90089000000E+08,-8.24220765615E+01
1.03508850000E+09,-7.31518025063E+01
1.08008800000E+09,-6.99397626908E+01
1.12508750000E+09,-8.02968630863E+01
1.17008700000E+09,-7.60931655438E+01
1.21508650000E+09,-6.84071796672E+01
1.26008600000E+09,-7.60977139316E+01
1.30508550000E+09,-6.73728038187E+01
1.35008500000E+09,-7.45074589209E+01
1.39508450000E+09,-6.68759364826E+01
1.44008400000E+09,-7.60245896330E+01
1.48508350000E+09,-7.76143238427E+01
1.53008300000E+09,-8.67000292600E+01
1.57508250000E+09,-8.57715374489E+01
1.62008200000E+09,-7.71754717182E+01
1.66508150000E+09,-7.80744998788E+01
1.71008100000E+09,-7.66457162785E+01
1.75508050000E+09,-6.66725724002E+01
1.80008000000E+09,-7.99686625888E+01
1.84507950000E+09,-8.70971110791E+01
1.89007900000E+09,-7.57911239570E+01
1.93507850000E+09,-8.16894820094E+01
1.98007800000E+09,-7.19361316167E+01
2.02507750000E+09,-7.40169061817E+01
2.07007700000E+09,-6.70024142346E+01
2.11507650000E+09,-6.79273196074E+01
2.16007600000E+09,-7.33951977482E+01
2.20507550000E+09,-7.56279188616E+01
2.25007500000E+09,-7.69927048314E+01
2.29507450000E+09,-6.57460628235E+01
2.34007400000E+09,-7.34357176796E+01
2.38507350000E+09,-7.14314575377E+01
2.43007300000E+09,-7.12303315588E+01
2.47507250000E+09,-6.56996969740E+01
2.52007200000E+09,-6.42532709738E+01
2.56507150000E+09,-6.28104759077E+01
2.61007100000E+09,-5.73937076714E+01
2.65507050000E+09,-5.57077243845E+01
2.70007000000E+09,-5.40405722746E+01
2.74506950000E+09,-4.94872254075E+01
2.79006900000E+09,-4.71884934285E+01
2.83506850000E+09,-4.30173132979E+01
2.88006800000E+09,-3.91869117807E+01
2.92506750000E+09,-3.46436074688E+01
2.97006700000E+09,-2.93980553741E+01
3.01506650000E+09,-2.37953795256E+01
3.06006600000E+09,-1.72277372104E+01
3.10506550000E+09,-8.72096606710E+00
3.15006500000E+09,-1.00724014507E+00
3.19506450000E+09,-1.97469423444E+00
3.24006400000E+09,-1.96903579095E+00
3.28506350000E+09,-1.15850411471E+00
3.33006300000E+09,-5.02901306274E-01
3.37506250000E+09,-6.80099310809E-01
3.42006200000E+09,-1.21655395860E+00
3.46506150000E+09,-1.43513454999E+00
3.51006100000E+09,-1.36066599661E+00
3.55506050000E+09,-1.24654119914E+00
3.60006000000E+09,-1.05213413287E+00
3.64505950000E+09,-7.56011582434E-01
3.69005900000E+09,-5.55472265893E-01
3.73505850000E+09,-5.00331251993E-01
3.78005800000E+09,-4.36298211573E-01
3.82505750000E+09,-3.30119715492E-01
3.87005700000E+09,-2.86180994034E-01
3.91505650000E+09,-2.91817978560E-01
3.96005600000E+09,-2.69051022618E-01
4.00505550000E+09,-2.32518056339E-01
4.05005500000E+09,-2.23841688107E-01
4.09505450000E+09,-2.21351921449E-01
4.14005400000E+09,-1.95378505331E-01
4.18505350000E+09,-1.74530234162E-01
4.23005300000E+09,-1.93880779755E-01
4.27505250000E+09,-1.95234387492E-01
4.32005200000E+09,-1.97266215181E-01
4.36505150000E+09,-2.37064918961E-01
4.41005100000E+09,-2.54513552964E-01
4.45505050000E+09,-2.12550963289E-01
