! CMT, C1209, 00000001, 25.3.3/1
! Date: 15/10/2025 16:00:55
! Stimulus(Hz),    S11(dB)
1.00000000000E+05,+4.16955992597E-03
4.50995000000E+07,+2.89201446094E-04
9.00990000000E+07,-1.79385284341E-04
1.35098500000E+08,+2.93988626649E-03
1.80098000000E+08,+2.08758639461E-03
2.25097500000E+08,+4.09227869740E-03
2.70097000000E+08,+6.48515814435E-03
3.15096500000E+08,+9.41927223887E-03
3.60096000000E+08,+8.67971803580E-03
4.05095500000E+08,+1.11987361173E-02
4.50095000000E+08,+1.09042932825E-02
4.95094500000E+08,+1.35246296179E-02
5.40094000000E+08,+1.40425294357E-02
5.85093500000E+08,+1.86048613253E-02
6.30093000000E+08,+2.24828634637E-02
6.75092500000E+08,+2.31388740535E-02
7.20092000000E+08,+2.88739165607E-02
7.65091500000E+08,+2.79666529635E-02
8.10091000000E+08,+3.31980018184E-02
8.55090500000E+08,+3.06705352625E-02
9.00090000000E+08,+3.51563193069E-02
9.45089500000E+08,+3.71631575117E-02
9.90089000000E+08,+3.95689583591E-02
1.03508850000E+09,+4.16564664159E-02
1.08008800000E+09,+4.41022811677E-02
1.12508750000E+09,+4.92775346545E-02
1.17008700000E+09,+4.91380907213E-02
1.21508650000E+09,+5.02993983591E-02
1.26008600000E+09,+5.44837952656E-02
1.30508550000E+09,+5.35723019006E-02
1.35008500000E+09,+5.69743496242E-02
1.39508450000E+09,+6.12845063750E-02
1.44008400000E+09,+5.95397240760E-02
1.48508350000E+09,+5.87117698552E-02
1.53008300000E+09,+6.12194808754E-02
1.57508250000E+09,+5.86934644714E-02
1.62008200000E+09,+6.41004698665E-02
1.66508150000E+09,+6.43642650460E-02
1.71008100000E+09,+5.80743153380E-02
1.75508050000E+09,+5.58079749232E-02
1.80008000000E+09,+5.86012044554E-02
1.84507950000E+09,+5.32583142436E-02
1.89007900000E+09,+4.87111755194E-02
1.93507850000E+09,+4.66899238868E-02
1.98007800000E+09,+4.46067399121E-02
2.02507750000E+09,+4.54104023282E-02
2.07007700000E+09,+3.44931440524E-02
2.11507650000E+09,+3.27374655164E-02
2.16007600000E+09,+2.61299166338E-02
2.20507550000E+09,+1.37923915308E-02
2.25007500000E+09,+1.10442987482E-02
2.29507450000E+09,+5.54569545816E-03
2.34007400000E+09,-2.34414505695E-03
2.38507350000E+09,-8.91708120128E-03
2.43007300000E+09,-1.65241974645E-02
2.47507250000E+09,-3.31409452222E-02
2.52007200000E+09,-4.30783653086E-02
2.56507150000E+09,-5.14683036686E-02
2.61007100000E+09,-5.95759500269E-02
2.65507050000E+09,-6.96501439058E-02
2.70007000000E+09,-8.19422961741E-02
2.74506950000E+09,-9.75893104536E-02
2.79006900000E+09,-1.15977392232E-01
2.83506850000E+09,-1.27512434651E-01
2.88006800000E+09,-1.38324323704E-01
