! CMT, C1209, 00000001, 22.3.3/2
! Date: 14/10/2025 08:54:49
! Stimulus(Hz),    S21(dB)
1.00000000000E+05,-6.88746785136E+01
4.50995000000E+07,-7.30465612788E+01
9.00990000000E+07,-8.28496857329E+01
1.35098500000E+08,-8.98915134511E+01
1.80098000000E+08,-8.31798434565E+01
2.25097500000E+08,-7.29274618039E+01
2.70097000000E+08,-7.70268419143E+01
3.15096500000E+08,-7.27366987743E+01
3.60096000000E+08,-7.25861598193E+01
4.05095500000E+08,-7.22438646781E+01
4.50095000000E+08,-6.41813529364E+01
4.95094500000E+08,-7.88494368237E+01
5.40094000000E+08,-8.03954744003E+01
5.85093500000E+08,-6.91266333714E+01
6.30093000000E+08,-7.86170695038E+01
6.75092500000E+08,-8.34326201426E+01
7.20092000000E+08,-7.35376432260E+01
7.65091500000E+08,-7.66559997689E+01
8.10091000000E+08,-8.17328187560E+01
8.55090500000E+08,-7.12178860647E+01
9.00090000000E+08,-7.70239338535E+01
9.45089500000E+08,-7.34687888389E+01
9.90089000000E+08,-8.17602006673E+01
1.03508850000E+09,-6.76282752094E+01
1.08008800000E+09,-7.19764361150E+01
1.12508750000E+09,-7.93409085529E+01
1.17008700000E+09,-6.83096110307E+01
1.21508650000E+09,-7.19687437692E+01
1.26008600000E+09,-7.53150956248E+01
1.30508550000E+09,-8.19087054568E+01
1.35008500000E+09,-7.06130797116E+01
1.39508450000E+09,-7.71505380828E+01
1.44008400000E+09,-7.13321369744E+01
1.48508350000E+09,-7.50687675970E+01
1.53008300000E+09,-8.71287484970E+01
1.57508250000E+09,-7.45519917667E+01
1.62008200000E+09,-7.66890705209E+01
1.66508150000E+09,-7.37037280709E+01
1.71008100000E+09,-8.61631199075E+01
1.75508050000E+09,-8.66452255498E+01
1.80008000000E+09,-6.94500599408E+01
1.84507950000E+09,-7.15498935505E+01
1.89007900000E+09,-7.89424053429E+01
1.93507850000E+09,-7.83573945235E+01
1.98007800000E+09,-7.85390559831E+01
2.02507750000E+09,-7.73158201014E+01
2.07007700000E+09,-7.99410220738E+01
2.11507650000E+09,-8.35111770928E+01
2.16007600000E+09,-7.35285712150E+01
2.20507550000E+09,-7.15566877160E+01
2.25007500000E+09,-7.37777673716E+01
2.29507450000E+09,-7.37238808709E+01
2.34007400000E+09,-7.46905549730E+01
2.38507350000E+09,-7.48440893474E+01
2.43007300000E+09,-7.11371873194E+01
2.47507250000E+09,-6.70600743181E+01
2.52007200000E+09,-6.32016140510E+01
2.56507150000E+09,-6.51987286825E+01
2.61007100000E+09,-6.18539624711E+01
2.65507050000E+09,-5.85601720081E+01
2.70007000000E+09,-5.36556658229E+01
2.74506950000E+09,-4.96490517285E+01
2.79006900000E+09,-4.68098874868E+01
2.83506850000E+09,-4.30136809791E+01
2.88006800000E+09,-3.93286060248E+01
2.92506750000E+09,-3.46712441820E+01
2.97006700000E+09,-2.94527933482E+01
3.01506650000E+09,-2.37632783782E+01
3.06006600000E+09,-1.72327135472E+01
3.10506550000E+09,-8.72153226054E+00
3.15006500000E+09,-1.00730024436E+00
3.19506450000E+09,-1.97388338073E+00
3.24006400000E+09,-1.96811891592E+00
3.28506350000E+09,-1.15950605689E+00
3.33006300000E+09,-5.03629776252E-01
3.37506250000E+09,-6.80770998504E-01
3.42006200000E+09,-1.21340208579E+00
3.46506150000E+09,-1.42912991746E+00
3.51006100000E+09,-1.36871816093E+00
3.55506050000E+09,-1.24613881958E+00
3.60006000000E+09,-1.05509516420E+00
3.64505950000E+09,-7.55188151235E-01
3.69005900000E+09,-5.56025156576E-01
3.73505850000E+09,-4.98961194848E-01
3.78005800000E+09,-4.36199364628E-01
3.82505750000E+09,-3.29376971587E-01
3.87005700000E+09,-2.84302819947E-01
3.91505650000E+09,-2.89984603106E-01
3.96005600000E+09,-2.74591083050E-01
4.00505550000E+09,-2.35025820375E-01
4.05005500000E+09,-2.22122387293E-01
4.09505450000E+09,-2.19446878669E-01
4.14005400000E+09,-1.96376799411E-01
4.18505350000E+09,-1.79203741640E-01
4.23005300000E+09,-1.92074499040E-01
4.27505250000E+09,-1.97282128672E-01
4.32005200000E+09,-1.97936365817E-01
4.36505150000E+09,-2.37021049631E-01
4.41005100000E+09,-2.53000110899E-01
4.45505050000E+09,-2.12416396752E-01
4.50005000000E+09,-1.81579482091E-01
4.54504950000E+09,-1.91318250333E-01
4.59004900000E+09,-2.11333898307E-01
4.63504850000E+09,-2.69334005086E-01
4.68004800000E+09,-3.75853997427E-01
4.72504750000E+09,-4.40736285412E-01
4.77004700000E+09,-4.08455635061E-01
4.81504650000E+09,-3.57071722809E-01
4.86004600000E+09,-3.55899864115E-01
4.90504550000E+09,-3.33448323101E-01
4.95004500000E+09,-2.78968177344E-01
4.99504450000E+09,-2.77753228538E-01
5.04004400000E+09,-4.87067798212E-01
5.08504350000E+09,-9.18385919460E-01
5.13004300000E+09,-1.33811227283E+00
5.17504250000E+09,-1.68193505937E+00
5.22004200000E+09,-2.23622240275E+00
5.26504150000E+09,-2.67953880956E+00
5.31004100000E+09,-2.10978959386E+00
5.35504050000E+09,-7.90543238693E-01
5.40004000000E+09,-4.06564428273E-01
5.44503950000E+09,-1.23348207542E+00
5.49003900000E+09,-3.39957225871E+00
5.53503850000E+09,-4.14959391171E+00
5.58003800000E+09,-1.02663231413E+00
5.62503750000E+09,-9.20905946390E+00
5.67003700000E+09,-1.76319693524E+01
5.71503650000E+09,-2.50120377648E+01
5.76003600000E+09,-3.16034068905E+01
5.80503550000E+09,-3.68738516310E+01
5.85003500000E+09,-4.07472246784E+01
5.89503450000E+09,-4.44497334363E+01
5.94003400000E+09,-4.74119553109E+01
5.98503350000E+09,-5.17796658579E+01
6.03003300000E+09,-5.47848747611E+01
6.07503250000E+09,-5.71041032769E+01
6.12003200000E+09,-6.49255569483E+01
6.16503150000E+09,-6.12392741515E+01
6.21003100000E+09,-7.40427997437E+01
6.25503050000E+09,-7.50660608862E+01
6.30003000000E+09,-8.44326980150E+01
6.34502950000E+09,-6.55440905074E+01
6.39002900000E+09,-7.21169326398E+01
6.43502850000E+09,-6.71881644339E+01
6.48002800000E+09,-6.75093904334E+01
6.52502750000E+09,-7.57717585728E+01
6.57002700000E+09,-6.58063241608E+01
6.61502650000E+09,-6.32560592720E+01
6.66002600000E+09,-8.43031288326E+01
6.70502550000E+09,-7.88320618774E+01
6.75002500000E+09,-8.33842424733E+01
6.79502450000E+09,-6.73549605780E+01
6.84002400000E+09,-6.72062890075E+01
6.88502350000E+09,-7.49709263588E+01
6.93002300000E+09,-6.53653281299E+01
6.97502250000E+09,-7.24018770978E+01
7.02002200000E+09,-6.93797945526E+01
7.06502150000E+09,-7.97934813823E+01
7.11002100000E+09,-6.22937507418E+01
7.15502050000E+09,-7.37870795986E+01
7.20002000000E+09,-7.41821682810E+01
7.24501950000E+09,-7.64462164826E+01
7.29001900000E+09,-7.60813259685E+01
7.33501850000E+09,-7.40326536830E+01
7.38001800000E+09,-8.07528373969E+01
7.42501750000E+09,-8.61774261733E+01
7.47001700000E+09,-7.53965392830E+01
7.51501650000E+09,-8.99354580519E+01
7.56001600000E+09,-6.63284490039E+01
7.60501550000E+09,-6.56807177822E+01
7.65001500000E+09,-6.89808676793E+01
7.69501450000E+09,-7.44694567553E+01
7.74001400000E+09,-7.68753713129E+01
7.78501350000E+09,-7.77784708609E+01
7.83001300000E+09,-8.22109542279E+01
7.87501250000E+09,-8.55074669523E+01
7.92001200000E+09,-7.99596744800E+01
7.96501150000E+09,-7.68360715109E+01
8.01001100000E+09,-8.61243084912E+01
8.05501050000E+09,-7.42047026558E+01
8.10001000000E+09,-6.82283224440E+01
8.14500950000E+09,-7.60681190739E+01
8.19000900000E+09,-7.09175545449E+01
8.23500850000E+09,-8.34652506894E+01
8.28000800000E+09,-1.05535585512E+02
8.32500750000E+09,-8.42138484121E+01
8.37000700000E+09,-7.87507829122E+01
8.41500650000E+09,-8.12476803680E+01
8.46000600000E+09,-8.18009229119E+01
8.50500550000E+09,-7.19720222140E+01
8.55000500000E+09,-7.11209721648E+01
8.59500450000E+09,-6.77889785683E+01
8.64000400000E+09,-6.91611181202E+01
8.68500350000E+09,-7.98573837866E+01
8.73000300000E+09,-7.20723499849E+01
8.77500250000E+09,-7.64234566095E+01
8.82000200000E+09,-7.44655587962E+01
8.86500150000E+09,-6.80188930602E+01
8.91000100000E+09,-8.01813949428E+01
8.95500050000E+09,-7.77685630548E+01
9.00000000000E+09,-7.09534438447E+01
